Vòng,NGÀY THÁNG NĂM,,,DANH SÁCH CÁC CẶP ĐẤU,,,
1,05/01/2026,,,Việt Nam,3,0,Thái Lan
,,,,Nhật Bản,0,0,Hàn Quốc
,,,,Anh,3,2,Pháp
,,,,Đức,0,0,Tây Ban Nha
,,,,Bồ Đào Nha,1,1,Argentina
2,12/01/2026,,,Việt Nam,1,0,Nhật Bản
,,,,Thái Lan,1,1,Hàn Quốc
,,,,Anh,2,1,Đức
,,,,Pháp,0,3,Bồ Đào Nha
,,,,Tây Ban Nha,0,1,Argentina
3,19/01/2026,,,Việt Nam,0,1,Hàn Quốc
,,,,Thái Lan,2,1,Anh
,,,,Nhật Bản,1,6,Pháp
,,,,Đức,0,0,Argentina
,,,,Tây Ban Nha,1,0,Bồ Đào Nha
4,26/01/2026,,,Việt Nam,2,1,Anh
,,,,Thái Lan,1,2,Nhật Bản
,,,,Hàn Quốc,0,4,Tây Ban Nha
,,,,Pháp,1,2,Argentina
,,,,Đức,0,1,Bồ Đào Nha
5,02/02/2026,,,Việt Nam,3,0,Pháp
,,,,Thái Lan,4,1,Đức
,,,,Nhật Bản,0,0,Bồ Đào Nha
,,,,Hàn Quốc,0,1,Argentina
,,,,Anh,2,2,Tây Ban Nha
6,09/02/2026,,,Việt Nam,0,0,Đức
,,,,Thái Lan,0,5,Pháp
,,,,Nhật Bản,4,0,Tây Ban Nha
,,,,Hàn Quốc,1,2,Bồ Đào Nha
,,,,Anh,1,0,Argentina
7,16/02/2026,,,Việt Nam,0,2,Tây Ban Nha
,,,,Thái Lan,2,2,Bồ Đào Nha
,,,,Nhật Bản,1,0,Argentina
,,,,Hàn Quốc,0,2,Anh
,,,,Pháp,2,0,Đức
8,23/02/2026,,,Việt Nam,2,2,Bồ Đào Nha
,,,,Thái Lan,2,2,Argentina
,,,,Nhật Bản,2,0,Anh
,,,,Pháp,2,1,Tây Ban Nha
,,,,Đức,1,1,Hàn Quốc
9,02/03/2026,,,Việt Nam,1,1,Argentina
,,,,Thái Lan,2,2,Tây Ban Nha
,,,,Nhật Bản,1,0,Đức
,,,,Hàn Quốc,3,1,Pháp
,,,,Anh,4,0,Bồ Đào Nha